journee,home,away,scores,home_goal,away_goal,ht_home_goal,ht_away_goal
37. Journée,FC Lorient,FC Metz,2:1 (1:0),2,1,1,0
37. Journée,Olympique Marseille,Angers SCO,3:2 (1:0),3,2,1,0
37. Journée,AS Monaco,Stade Rennes,2:1 (2:0),2,1,2,0
37. Journée,Montpellier HSC,Stade Brest,0:0 (0:0),0,0,0,0
37. Journée,OGC Nice,RC Strasbourg,0:2 (0:1),0,2,0,1
37. Journée,Nîmes Olympique,Olympique Lyon,2:5 (1:3),2,5,1,3
37. Journée,Paris Saint-Germain,Stade Reims,4:0 (2:0),4,0,2,0
38. Journée,Angers SCO,Lille OSC,1:2 (0:2),1,2,0,2
38. Journée,Stade Brest,Paris Saint-Germain,0:2 (0:1),0,2,0,1
38. Journée,RC Lens,AS Monaco,0:0 (0:0),0,0,0,0
38. Journée,Olympique Lyon,OGC Nice,2:3 (2:1),2,3,2,1
38. Journée,FC Metz,Olympique Marseille,1:1 (0:0),1,1,0,0
38. Journée,FC Nantes,Montpellier HSC,1:2 (1:1),1,2,1,1
38. Journée,Stade Reims,Girondins Bordeaux,1:2 (1:1),1,2,1,1
38. Journée,Stade Rennes,Nîmes Olympique,2:0 (1:0),2,0,1,0
38. Journée,AS Saint-Étienne,Dijon FCO,0:1 (0:1),0,1,0,1
38. Journée,RC Strasbourg,FC Lorient,1:1 (1:0),1,1,1,0
